usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,global_id
JCT,1,1,50,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,26
JCT,1,2,100,100,0.458904671142526,0.8955263303423449,0.3041781438270339,26
JCT,1,3,0,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,26
MPT,0,0,50,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,27
MPT,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,27
MPT,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,27
MPT,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,27
REGC,0,0,0,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,28
REGC,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,28
REGC,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,28
REGC,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,28
REGC,1,0,75,50,0.459167682928114,0.8651705018746499,0.1011079520794157,28
REGC,1,1,0,50,0.45307523226941504,0.9444322826768645,0.27506205796285244,28
REGC,1,2,75,50,0.4399801697010422,0.9810597352117704,0.1981399600820706,28
REGC,1,3,100,75,0.4548557836209679,0.9298478876940789,0.04792883266966079,28
REGC,2,0,75,50,0.43489629163087073,0.8175859038955056,0.0975142348637857,28
REGC,2,1,100,75,0.45749702791405916,0.7946569601331365,0.08534473351778746,28
REGC,2,2,100,50,0.43709547413557837,0.7996789342873667,0.029095970087296107,28
REGC,2,3,0,100,0.4483187358474537,0.8566280602931865,0.01865252249225225,28
REGC,3,0,100,75,0.459167682928114,0.8651705018746499,0.1011079520794157,28
REGC,3,1,100,100,0.45307523226941504,0.9444322826768645,0.27506205796285244,28
REGC,3,2,100,100,0.4399801697010422,0.9810597352117704,0.1981399600820706,28
REGC,3,3,100,75,0.4548557836209679,0.9298478876940789,0.04792883266966079,28
SNY,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,29
SNY,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,29
SNY,0,2,50,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,29
SNY,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,29
SNY,1,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,29
SNY,1,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,29
SNY,1,2,100,100,0.458904671142526,0.8955263303423449,0.3041781438270339,29
SNY,1,3,50,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,29
SNY,2,0,100,50,0.45330225848956623,0.7903770919436844,0.31126213496513755,29
SNY,2,1,100,75,0.4961778562977241,0.742900994945293,0.3706641579964038,29
SNY,2,2,100,50,0.45099730599778076,0.8019484785649978,0.27630202236385093,29
SNY,2,3,100,25,0.4539909418206916,0.751956041590529,0.28383978290865336,29
ARNR,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,30
ARNR,0,1,25,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,30
